SMILES_Ligands,Counterion,Abbreviation_in_the_article,IC50_Dark(M*10^-6),IC50_Dark_standard_error(M*10^-6),IC50_Dark_value,IC50_Light(M*10^-6),IC50_Light_standard_error(M*10^-6),IC50_Light_value,Excitation_Wavelength(nm),Irradiation_Time(minutes),Irradiation_Power(W*m^-2),Cell_line,Time(h),DOI,Year,IC50_Cisplatin(M*10^-6),IC50_Cisplatin_standard_error(M*10^-6),IC50_Cisplatin_value,IC50_class,num_ligands,Scaffold
C[N+]12CN3CN(CP(C3)C1)C2.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn([BH-](n2cccn2)n2cccn2)c1,O=S(=O)([O-])C(F)(F)F,2b,3.1,0.4,3.1,,,,,,,NCI-H460,72.0,10.1039/C0DT00206B,2010,,,,1,4,C1N2C[NH+]3CN1CP(C2)C3.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn([BH-](n2cccn2)n2cccn2)c1
CP(C)c1ccccc1.C[N+]12CN3CN(CP(C3)C1)C2.[Cl-].c1cnn([BH-](n2cccn2)n2cccn2)c1,O=S(=O)([O-])C(F)(F)F,2c,>100,,100.0,,,,,,,NCI-H460,72.0,10.1039/C0DT00206B,2010,,,,0,4,c1ccccc1.C1N2C[NH+]3CN1CP(C2)C3.[Cl-].c1cnn([BH-](n2cccn2)n2cccn2)c1
COP(OC)OC.C[N+]12CN3CN(CP(C3)C1)C2.[Cl-].c1cnn([BH-](n2cccn2)n2cccn2)c1,O=S(=O)([O-])C(F)(F)F,2e,>100,,100.0,,,,,,,NCI-H460,72.0,10.1039/C0DT00206B,2010,,,,0,4,COP(OC)OC.C1N2C[NH+]3CN1CP(C2)C3.[Cl-].c1cnn([BH-](n2cccn2)n2cccn2)c1
C1N2CN3CN1CP(C2)C3.[H-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn([BH-](n2cccn2)n2cccn2)c1,,3,3.4,0.3,3.4,,,,,,,NCI-H460,72.0,10.1039/C0DT00206B,2010,,,,1,4,C1N2CN3CN1CP(C2)C3.[H-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn([BH-](n2cccn2)n2cccn2)c1
C[N+]12CN3CN(CP(C3)C1)C2.[H-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn([BH-](n2cccn2)n2cccn2)c1,O=S(=O)([O-])C(F)(F)F,4,3.1,0.3,3.1,,,,,,,NCI-H460,72.0,10.1039/C0DT00206B,2010,,,,1,4,C1N2C[NH+]3CN1CP(C2)C3.[H-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn([BH-](n2cccn2)n2cccn2)c1
C1N2CN3CN1CP(C2)C3.CC#N.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn([BH-](n2cccn2)n2cccn2)c1,O=S(=O)([O-])C(F)(F)F,5,5.1,0.5,5.1,,,,,,,NCI-H460,72.0,10.1039/C0DT00206B,2010,,,,1,4,C1N2CN3CN1CP(C2)C3.CC#N.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn([BH-](n2cccn2)n2cccn2)c1
C1N2CN3CN1CP(C2)C3.CC#N.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn([BH-](n2cccn2)n2cccn2)c1,F[P-](F)(F)(F)(F)F,5',4.6,0.4,4.6,,,,,,,NCI-H460,72.0,10.1039/C0DT00206B,2010,,,,1,4,C1N2CN3CN1CP(C2)C3.CC#N.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn([BH-](n2cccn2)n2cccn2)c1
CC#N.C[N+]12CN3CN(CP(C3)C1)C2.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn([BH-](n2cccn2)n2cccn2)c1,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F,6,6.1,0.7,6.1,,,,,,,NCI-H460,72.0,10.1039/C0DT00206B,2010,,,,1,4,CC#N.C1N2C[NH+]3CN1CP(C2)C3.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn([BH-](n2cccn2)n2cccn2)c1
C1N2CN3CN1CP(C2)C3.C1N2CN3CN1CP(C2)C3.[Cl-].c1cnn([BH-](n2cccn2)n2cccn2)c1,,1a,>100,,100.0,,,,,,,SF-268,72.0,10.1039/C0DT00206B,2010,,,,0,4,C1N2CN3CN1CP(C2)C3.C1N2CN3CN1CP(C2)C3.[Cl-].c1cnn([BH-](n2cccn2)n2cccn2)c1
C1N2CN3CN1CP(C2)C3.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn([BH-](n2cccn2)n2cccn2)c1,,1b,28.2,2.2,28.2,,,,,,,SF-268,72.0,10.1039/C0DT00206B,2010,,,,0,4,C1N2CN3CN1CP(C2)C3.[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1cnn([BH-](n2cccn2)n2cccn2)c1
C1N2CN3CN1CP(C2)C3.CP(C)c1ccccc1.[Cl-].c1cnn([BH-](n2cccn2)n2cccn2)c1,,1c,29,1.3,29.0,,,,,,,SF-268,72.0,10.1039/C0DT00206B,2010,,,,0,4,C1N2CN3CN1CP(C2)C3.c1ccccc1.[Cl-].c1cnn([BH-](n2cccn2)n2cccn2)c1
C1N2CN3CN1CP(C2)C3.COP(OC)OC.[Cl-].c1cnn([BH-](n2cccn2)n2cccn2)c1,,1e,31.3,1.4,31.3,,,,,,,SF-268,72.0,10.1039/C0DT00206B,2010,,,,0,4,C1N2CN3CN1CP(C2)C3.COP(OC)OC.[Cl-].c1cnn([BH-](n2cccn2)n2cccn2)c1
C[N+]12CN3CN(CP(C3)C1)C2.C[N+]12CN3CN(CP(C3)C1)C2.[Cl-].c1cnn([BH-](n2cccn2)n2cccn2)c1,O=S(=O)([O-])C(F)(F)F.O=S(=O)([O-])C(F)(F)F,2a,>100,,100.0,,,,,,,SF-268,72.0,10.1039/C0DT00206B,2010,,,,0,4,C1N2C[NH+]3CN1CP(C2)C3.C1N2C[NH+]3CN1CP(C2)C3.[Cl-].c1cnn([BH-](n2cccn2)n2cccn2)c1
