DOI,Authors
10.1021/jm301103y,"Castonguay Annie, Doucet Cédric, Juhas Michal, Maysinger Dusica"
10.1021/jm200912j,"Caruso Francesco, Rossi Miriam, Benson Aidan, Opazo Cristian, Freedman Daniel, Monti Elena, Gariboldi Marzia Bruna, Shaulky Jodi, Marchetti Fabio, Pettinari Riccardo, Pettinari Claudio"
10.1039/C0DT00206B,"García-Fernández Almudena, Díez Josefina, Manteca Ángel, Sánchez Jesús, García-Navas Rósula, Sierra Beatriz G., Mollinedo Faustino, Gamasa M. Pilar, Lastra Elena"
10.1016/j.jinorgbio.2012.04.003,"Ludwig Gerd, Kaluđerović Goran N., Bette Martin, Block Michael, Paschke Reinhard, Steinborn Dirk"
10.1021/om800899e,"Renfrew Anna K., Phillips Andrew D., Egger Alexander E., Hartinger Christian G., Bosquain Sylvain S., Nazarov Alexey A., Keppler Bernhard K., Gonsalvi Luca, Peruzzini Maurizio, Dyson Paul J."
10.1021/jm050015d,"Scolaro Claudine, Bergamo Alberta, Brescacin Laura, Delfino Riccarda, Cocchietto Moreno, Laurenczy Gábor, Geldbach Tilmann J., Sava Gianni, Dyson Paul J."
10.1021/ic100277w,"Chen Tianfeng, Liu Yanan, Zheng Wen-Jie, Liu Jie, Wong Yum-Shing"
10.1021/acs.organomet.8b00897,"Golbaghi Golara, Haghdoost Mohammad Mehdi, Yancu Debbie, López de los Santos Yossef, Doucet Nicolas, Patten Shunmoogum A., Sanderson J. Thomas, Castonguay Annie"
10.1021/acs.inorgchem.8b00346,"Haghdoost Mohammad Mehdi, Guard Juliette, Golbaghi Golara, Castonguay Annie"
10.1021/ic030119j,"Wu Adam, Kennedy David C., Patrick Brian O., James Brian R."
10.3390/molecules25184284,"Elsayed Shadia A., Harrypersad Shane, Sahyon Heba A., El-Magd Mohammed Abu, Walsby Charles J."
10.1002/chem.202002970,"Wang Yuchen, Jin Jiahui, Shu Liwei, Li Tongyu, Lu Siming, Subarkhan Mohamed Kasim Mohamed, Chen Chao, Wang Hangxiang"
10.1039/D0DT01040E,"Li Shuang, Xu Gang, Zhu Yuhua, Zhao Jian, Gou Shaohua"
10.1002/chem.201904877,"Notaro Anna, Jakubaszek Marta, Koch Severin, Rubbiani Riccardo, Dömötör Orsolya, Enyedy Éva A., Dotou Mazzarine, Bedioui Fethi, Tharaud Mickaël, Goud Bruno, Ferrari Stefano, Alessio Enzo, Gasser Gilles"
10.1002/anie.202006089,"Xiong Kai, Qian Chen, Yuan Yixian, Wei Lin, Liao Xinxing, He Liting, Rees Thomas W., Chen Yu, Wan Jian, Ji Liangnian, Chao Hui"
10.1016/j.jinorgbio.2021.111549,"Elsayed Shadia A., Badr Hagar E., di Biase Armando, El-Hendawy Ahmed M."
10.1021/acs.inorgchem.9b03562,"Munteanu Alexandra-Cristina, Notaro Anna, Jakubaszek Marta, Cowell Joseph, Tharaud Mickaël, Goud Bruno, Uivarosi Valentina, Gasser Gilles"
10.1021/acs.jmedchem.2c00722,"Cervinka Jakub, Gobbo Alberto, Biancalana Lorenzo, Markova Lenka, Novohradsky Vojtech, Guelfi Massimo, Zacchini Stefano, Kasparkova Jana, Brabec Viktor, Marchetti Fabio"
10.1021/acs.inorgchem.0c01835,"Ribeiro Gabriel H., Guedes Adriana P. M., de Oliveira Tamires D., de Correia Camila R. S. T. b., Colina-Vegas Legna, Lima Mauro A., Nóbrega Joaquim A., Cominetti Márcia R., Rocha Fillipe V., Ferreira Antônio G., Castellano Eduardo E., Teixeira Felipe R., Batista Alzir A."
10.1039/c6qi00197a,"Subarkhan Mohamed Kasim Mohamed, Ramesh Rengan"
10.1039/c6nj01936f,"Mohamed Subarkhan Mohamed Kasim, Ramesh Rengan, Liu Yu"
10.1016/j.jorganchem.2018.01.022,"Mohan Nanjan, Mohamed Subarkhan Mohamed Kasim, Ramesh Rengan"
10.1021/acs.inorgchem.7b01959,"Li JuanJuan, Tian Meng, Tian Zhenzhen, Zhang Shumiao, Yan Chao, Shao Changfang, Liu Zhe"
10.1098/rsos.240353,"Jacinto Flávia E., de Oliveira Letícia Pires, Batista Alzir A., Oliveira Katia M., Correa Rodrigo S."
10.1002/cmdc.202400313,"Wu Ting‐Wei, Chu Yi‐Cheng, Chang Chuan‐Hsin, Hsieh Yu‐Hui, Tang Mei‐Hsin, Hsu Pei‐Hsuan, Wu Hsin‐Ying, Chen Jih‐Jung, Shih Tzenge‐Lien"
10.1002/aoc.7363,"Kavukcu Serdar Batıkan, Özverel Cenk Serhan, Kıyak Nadire, Vatansever H. Seda, Türkmen Hayati"
